outcome,estimator,year,actual_log,synthetic_log,actual,synthetic,gap_log
log_mmr,synth,2002,7.307872780763706,7.061208687090629,1491.9999999999995,1165.853466538446,0.2466640936730764
log_mmr,synth,2003,7.267525427828172,7.029192685394087,1433.0000000000002,1129.1186881231686,0.23833274243408464
log_mmr,synth,2004,7.2196420401307355,7.007999950296953,1366.0000000000002,1105.4413547799725,0.21164208983378252
log_mmr,synth,2005,7.165493475060845,7.009916686409184,1293.9999999999995,1107.5622260706107,0.15557678865166125
log_mmr,synth,2006,7.0630481633881725,6.999843266215662,1168.0000000000002,1096.4612924324636,0.06320489717251032
log_mmr,synth,2007,7.0317412587631285,6.998864945915863,1132.0000000000002,1095.3891266384287,0.03287631284726533
log_mmr,synth,2008,6.996681488176539,7.016175542407682,1093.0000000000005,1114.5160373042545,-0.019494054231143032
log_mmr,synth,2009,6.960347729101308,7.015260650801102,1054.0000000000002,1113.4968422339252,-0.05491292169979456
log_mmr,synth,2010,6.925595197110468,7.00225261825316,1017.9999999999999,1099.1062387052816,-0.07665742114269225
log_mmr,synth,2011,6.874198495453294,6.9916395398507785,966.9999999999999,1087.5030198698269,-0.11744104439748426
log_mmr,synth,2012,6.818924065275521,6.994112860149869,914.9999999999997,1090.1960922065682,-0.17518879487434802
log_mmr,synth,2013,6.7357800142423265,6.9871268434864975,841.9999999999999,1082.6065054967771,-0.25134682924417096
log_mmr,synth,2014,6.710523109452428,6.968848085903877,820.9999999999997,1062.9975631411241,-0.2583249764514495
log_mmr,synth,2015,6.593044534142437,6.952776153653135,730.0,1046.049695624053,-0.3597316195106979
log_mmr,synth,2016,6.450470422144176,6.9252039261963345,632.9999999999998,1017.6017641235503,-0.47473350405215875
log_mmr,synth,2017,6.359573868672378,6.892337248939623,578.0000000000001,984.7002192787974,-0.5327633802672453
log_mmr,synth,2018,6.19644412779452,6.849027682912151,490.9999999999999,942.9636011653051,-0.6525835551176309
log_mmr,synth,2019,6.139884552226255,6.81218262828285,464.0,908.8523304977358,-0.6722980760565944
log_mmr,augsynth,2002,7.307872780763706,7.303912436139915,1491.9999999999995,1486.1028509004032,0.003960344623791023
log_mmr,augsynth,2003,7.267525427828172,7.254455138810341,1433.0000000000002,1414.3921457553029,0.013070289017830916
log_mmr,augsynth,2004,7.2196420401307355,7.207055842552323,1366.0000000000002,1348.9149972570153,0.01258619757841295
log_mmr,augsynth,2005,7.165493475060845,7.174651253427877,1293.9999999999995,1305.9045918156316,-0.009157778367031355
log_mmr,augsynth,2006,7.0630481633881725,7.063592398253622,1168.0000000000002,1168.635839330117,-0.0005442348654494111
log_mmr,augsynth,2007,7.0317412587631285,7.020454920188718,1132.0000000000002,1119.2956921511002,0.011286338574410415
log_mmr,augsynth,2008,6.996681488176539,7.003020437389458,1093.0000000000005,1099.9504775780886,-0.0063389492129193314
log_mmr,augsynth,2009,6.960347729101308,6.96733993957678,1054.0000000000002,1061.3956155598762,-0.006992210475472049
log_mmr,augsynth,2010,6.925595197110468,6.9450711012098205,1017.9999999999999,1038.0207991167583,-0.019475904099352626
log_mmr,augsynth,2011,6.874198495453294,6.948634991381146,966.9999999999999,1041.7267911921488,-0.07443649592785206
log_mmr,augsynth,2012,6.818924065275521,6.968985985666027,914.9999999999997,1063.1441603598755,-0.15006192039050603
log_mmr,augsynth,2013,6.7357800142423265,6.9479031774841165,841.9999999999999,1040.9647199306266,-0.21212316324178992
log_mmr,augsynth,2014,6.710523109452428,6.851910868500967,820.9999999999997,945.6862633150304,-0.1413877590485395
log_mmr,augsynth,2015,6.593044534142437,6.797398801667203,730.0,895.5148476621321,-0.20435426752476626
log_mmr,augsynth,2016,6.450470422144176,6.756195161485898,632.9999999999998,859.3662177746077,-0.3057247393417226
log_mmr,augsynth,2017,6.359573868672378,6.727615474208781,578.0000000000001,835.1534448111287,-0.3680416055364031
log_mmr,augsynth,2018,6.19644412779452,6.709810649168361,490.9999999999999,820.4152784269635,-0.5133665213738405
log_mmr,augsynth,2019,6.139884552226255,6.7030991930105115,464.0,814.9275332341923,-0.5632146407842562
log_u5mr,synth,2002,5.354697699984144,5.168208681201026,211.6,175.60000000000173,0.18648901878311808
log_u5mr,synth,2003,5.326418796658912,5.1492371435338935,205.70000000000002,172.30000000000166,0.1771816531250181
log_u5mr,synth,2004,5.296315363877364,5.128714582161867,199.60000000000002,168.8000000000017,0.16760078171549697
log_u5mr,synth,2005,5.263725921778417,5.1083667825896,193.1999999999999,165.40000000000157,0.15535913918881672
log_u5mr,synth,2006,5.2284312390838705,5.086361004624401,186.50000000000006,161.80000000000163,0.1420702344594691
log_u5mr,synth,2007,5.190732155868099,5.063227744215436,179.60000000000005,158.1000000000016,0.12750441165266313
log_u5mr,synth,2008,5.149817358229593,5.038898759369125,172.4000000000001,154.30000000000146,0.11091859886046862
log_u5mr,synth,2009,5.107156861086878,5.01396308418894,165.20000000000007,150.50000000000142,0.09319377689793829
log_u5mr,synth,2010,5.061961921261596,4.988389685148944,157.89999999999995,146.70000000000124,0.07357223611265162
log_u5mr,synth,2011,5.015954455573856,4.96214508493583,150.8,142.90000000000123,0.05380937063802538
log_u5mr,synth,2012,4.970507503005476,4.936629880785769,144.09999999999994,139.3000000000012,0.03387762221970725
log_u5mr,synth,2013,4.926528784799256,4.911183215124605,137.89999999999998,135.8000000000012,0.015345569674651394
log_u5mr,synth,2014,4.911919321157098,4.885072071120919,135.90000000000006,132.3000000000012,0.026847250036179382
log_u5mr,synth,2015,4.918520005188451,4.85748411460209,136.80000000000007,128.70000000000115,0.06103589058636061
log_u5mr,synth,2016,4.802380355275797,4.82831373730231,121.8,125.00000000000117,-0.02593338202651374
log_u5mr,synth,2017,4.762173934797756,4.799090878625407,117.00000000000003,121.40000000000107,-0.03691694382765043
log_u5mr,synth,2018,4.722063937459591,4.767289035464535,112.40000000000005,117.60000000000102,-0.04522509800494401
log_u5mr,synth,2019,4.684905154006945,4.7361984483945045,108.29999999999997,114.00000000000104,-0.05129329438755992
log_u5mr,augsynth,2002,5.354697699984144,5.353351891861139,211.6,211.315418540145,0.001345808123005554
log_u5mr,augsynth,2003,5.326418796658912,5.3252396926013885,205.70000000000002,205.4576012301377,0.0011791040575230838
log_u5mr,augsynth,2004,5.296315363877364,5.297892566427366,199.60000000000002,199.91505801882522,-0.0015772025500027098
log_u5mr,augsynth,2005,5.263725921778417,5.2657622223189735,193.1999999999999,193.59381409027804,-0.0020363005405563683
log_u5mr,augsynth,2006,5.2284312390838705,5.228661629155403,186.50000000000006,186.54297269839233,-0.0002303900715325824
log_u5mr,augsynth,2007,5.190732155868099,5.187792023344126,179.60000000000005,179.0727277037364,0.0029401325239737375
log_u5mr,augsynth,2008,5.149817358229593,5.150353659503794,172.4000000000001,172.49248313686766,-0.0005363012742005679
log_u5mr,augsynth,2009,5.107156861086878,5.1069879652208,165.20000000000007,165.17210075902358,0.0001688958660777118
log_u5mr,augsynth,2010,5.061961921261596,5.071074839692502,157.89999999999995,159.34550620679144,-0.009112918430905559
log_u5mr,augsynth,2011,5.015954455573856,5.013359687342495,150.8,150.4092161667053,0.0025947682313605114
log_u5mr,augsynth,2012,4.970507503005476,4.9589582211033765,144.09999999999994,142.44532204152708,0.011549281902099473
log_u5mr,augsynth,2013,4.926528784799256,4.915841962647961,137.89999999999998,136.4341339016121,0.010686822151295239
log_u5mr,augsynth,2014,4.911919321157098,4.882558815649366,135.90000000000006,131.96791378466418,0.02936050550773217
log_u5mr,augsynth,2015,4.918520005188451,4.840634678037044,136.80000000000007,126.54964452735928,0.07788532715140661
log_u5mr,augsynth,2016,4.802380355275797,4.806875557580623,121.8,122.34874808351418,-0.004495202304826584
log_u5mr,augsynth,2017,4.762173934797756,4.78859768394644,117.00000000000003,120.13278635313999,-0.02642374914868384
log_u5mr,augsynth,2018,4.722063937459591,4.762199745108057,112.40000000000005,117.0030198452766,-0.04013580764846569
log_u5mr,augsynth,2019,4.684905154006945,4.7249200915627725,108.29999999999997,112.72149061601894,-0.040014937555827856
